grid_cell,ba,lat,lon,pr,distance_to_grid,population,surface_area_ofs,surface_area_ons
894,Saskatchewan.a,50.5,-107.5,Saskatchewan,18.8467082,1020,0,2205.12
895,Saskatchewan.a,50,-107.5,Saskatchewan,38.7277497,3041,0,2228.59
896,Saskatchewan.a,49.5,-107.5,Saskatchewan,64.3416221,2295,0,2502.1
897,Saskatchewan.a,49,-107.5,Saskatchewan,111.4926947,988,0,2527.79
898,Saskatchewan.a,59.5,-106.875,Saskatchewan,98.0945667,0,0,1560.68
899,Saskatchewan.a,59,-106.875,Saskatchewan,117.0833926,0,0,1979.97
9,British Columbia.a,59,-136.875,British Columbia,445.2058655,0,0,1187.98
90,British Columbia.a,59.5,-130,British Columbia,196.9089686,0,0,1950.85
900,Saskatchewan.a,58.5,-106.875,Saskatchewan,159.4036052,0,0,2008.93
901,Saskatchewan.a,58,-106.875,Saskatchewan,113.1531867,0,0,2037.75
902,Saskatchewan.a,57.5,-106.875,Saskatchewan,79.8727459,0,0,1446.48
903,Saskatchewan.a,57,-106.875,Saskatchewan,78.3424852,0,0,1047.45
904,Saskatchewan.a,56.5,-106.875,Saskatchewan,109.8968244,0,0,2123.25
905,Saskatchewan.a,56,-106.875,Saskatchewan,155.5601382,0,0,1936.29
906,Saskatchewan.a,55.5,-106.875,Saskatchewan,186.1857238,1013,0,1089.72
907,Saskatchewan.a,55,-106.875,Saskatchewan,142.9321464,0,0,1324.38
908,Saskatchewan.a,54.5,-106.875,Saskatchewan,111.2461316,0,0,1787.98
909,Saskatchewan.a,54,-106.875,Saskatchewan,120.3585666,0,0,1809.99
91,British Columbia.a,59,-130,British Columbia,143.1051209,0,0,1979.97
910,Saskatchewan.a,53.5,-106.875,Saskatchewan,84.8344099,325,0,2060.85
911,Saskatchewan.a,53,-106.875,Saskatchewan,100.8978259,6865,0,2085.29
912,Saskatchewan.a,52.5,-106.875,Saskatchewan,45.3137282,10293,0,2109.58
913,Saskatchewan.a,52,-106.875,Saskatchewan,10.4140481,294303,0,2370.79
914,Saskatchewan.a,51.5,-106.875,Saskatchewan,25.0447647,6100,0,2157.68
915,Saskatchewan.a,51,-106.875,Saskatchewan,11.9205835,1287,0,2181.48
916,Saskatchewan.a,50.5,-106.875,Saskatchewan,16.2198989,1128,0,2450.13
917,Saskatchewan.a,50,-106.875,Saskatchewan,53.3211003,593,0,2476.21
